"name","url","email"
"Arizona Spa","http://www.arizonaspawi.com","mailto:rainydaaz@gmail.com"
"Fray Boutique","https://frayboutiquewi.com","mailto:shop.frayboutique@gmail.com"
"Buttons Bakery And Boutique","https://www.facebook.com/pg/buttonsbakeryandboutique","mailto:carol3hollister@gmail.com"
"Seasons by Design & Jillayne's Boutique","http://seasonsbydesignandboutique.com","mailto:SeasonsByDesigngifts@yahoo.com"
"Twist Boutique","http://www.twistboutique.com","mailto:trish@twistboutique.com"
"Nature's Best Floral & Boutique","http://naturesbestfloralgb.com","mailto:josh@naturesbestfloralgb.com""name","url","email"
,,"mailto:goldcitysales@gmail.com"
,,"mailto:bhurson@bdgrowers.com"
"The Niche Boutique","http://www.shoptheniche.com","mailto:heeteram@gmail.com"
"Look What I Found Boutique","http://www.lookwhatifoundboutique.com","mailto:info@lookwhatifoundboutique.com"
"Pauline Bryan's Boutique - CLOSED",,"mailto:consignanddesign@comcast.net"
"Detai!s Boutique","http://www.detailsboutique.com","mailto:detailsbbb@aol.com"
"Marcella's Home & Gifts","https://www.shopmarcellas.com","mailto:oana@marcellasboutiquedenver.com"
"Toolips Womens Btq & Gifts","http://www.toolipsboutique.com","mailto:toolips@comcast.net"
"Bare Neck Boutique",,"mailto:jessica@bareneckboutique.com"
"Addy Pants Baby Boutique - CLOSED",,"mailto:addy.pants@yahoo.com"
"A Touch Of Class Fashions & Gifts - CLOSED",,"mailto:bmcoan@yahoo.com"
"Secret Garden Bath & Boutique - CLOSED",,"mailto:secretgardenbathboutique@gmail.com"
"Bleu Door Boutique","http://hotmamasbasalt.com","mailto:hotmamasbasalt@gmail.com"
"Wild Blue Boutique","http://www.wildblueboutique.com","mailto:info@wildblueboutique.com"
"Wildflower Boutique","http://www.ouraywildflower.com","mailto:dee@byhil.com"
"Experience Boutique - CLOSED",,"mailto:zalay13@yahoo.com"
"Jen's Place Boutique & Gift Shop","http://www.jensplace.biz","mailto:jensplace@outlook.com"
"Blossoms Floral Boutique & Gifts","http://www.blossomsfloral.com","mailto:blossomsfloral@outlook.com"
"Rusty Dusty Ribbons","http://www.rustydustyribbons.com","mailto:Dusty@rustydustyribbons.com"
"Rabbask Designs",,"mailto:rabbask@yahoo.com"
"Rain - CLOSED","http://www.rainfeelsgood.com","mailto:kristin@rainfeelsgood.com"
"By Chance","http://bychanceshoppe.com","mailto:2@bychanceshoppe.com"
"Gentle Spirit LLC","http://www.gentlespiritllc.etsy.com","mailto:nancy.gentlespiritllc@gmail.com"
"Emporium And Flying Circus","http://www.emporiumandflyingcircus.com","mailto:info@aspenemporium.net"
"Picasso and Wine","http://www.picassoandwine.com","mailto:sylvia@picassoandwine.com"
"Cozy Cottage","http://www.cozycottage.biz","mailto:info@cozycottage.biz"
"Ala Carte","http://alacarteglenwood.com","mailto:hello@alacarteglenwood.com"
"Home Again","http://homeagainps.com","mailto:homeagainps@yahoo.com"
"Lincoln Park Emporium","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1575661036779.788f4ca5&ADID=11886599&DEST=http%3A%2F%2Flincolnparkemporium1.mydex.com%2FoqOlLA51eBE&C=gift%20boutique&T=Greeley&S=CO&PH=(970)%20400-1065&FL=url&TL=off&position=44&PS=30&PI=2&Results=FEED_CLCK&uid=788f4ca5-978a-4c61-87ed-dcddcb9eb0b8&REF=https%3A%2F%2Fwww.yellowpages.com%2Fsearch%3Fsearch_terms%3Dgift%2Bboutique%26geo_location_terms%3DCO%26page%3D1&IP=173.241.238.174&UserAgent=Mozilla%2F5.0%20(Windows%20NT%20x.y%3B%20rv%3A10.0)%20Gecko%2F20100101%20Firefox%2F10.0","mailto:marytroberts@msn.com"
"Main Street Boutique",,"mailto:mainstreetbtq@hotmail.com"
"Intrigue Boutique","https://www.intrigueboutiquedenver.com","mailto:ohsointriguing@gmail.com"
"Satori Boutique","http://www.shopsatori.com","mailto:satoriboutique@gmail.com"
"THE original basket boutique - Fort Collins","https://obbgifts.com/franchise/obb-fort-collins","mailto:rosannw@obbgifts.com"
"Divalicous Boutique",,"mailto:godivago@comcast.net"
"Twill Trade","http://www.twilltrade.com","mailto:Thetwilltrade@gmail.com"
"Raz Ma Taz Etc","http://www.razmatazpueblo.com","mailto:info@bbbsc.org"
"CashmereRED","http://www.cashmerered.com","mailto:info@CashmereRED.com"
"Four And Twenty Blk Bird","http://www.blackbirdsco.com","mailto:lynnblackbirds@aol.com""name","url","email"
,,"mailto:goldcitysales@gmail.com"
,,"mailto:bhurson@bdgrowers.com"
"Bloom the Boutique in Bemidji, MN","http://www.sanfordhealth.org","mailto:Sarah.Pepper@SanfordHealth.org"
"On The Avenue Floral & Gifts",,"mailto:admin@newvcorp.com"
"Shine Boutique","http://www.shineboutiquemn.com","mailto:shineboutiquemn@gmail.com"
"Flowers by Jerry Lux Boutique","http://www.flowersbyjerry.com/mn-minnesota/rochester/florist.aspx?rflx=Rochester,MN","mailto:order@flowersbyjerry.com"
"The Bag Lady Boutique","http://www.bagladygifts.com","mailto:bagladygifts@outlook.com"
"Red Brick Boutique","http://theottertailcreamery.com","mailto:general@firestartersmusic.com"
"La Boutique","http://laboutiquemn.com","mailto:laboutique@hbci.com"
"Pink Door Boutique","http://pinkdoorboutique.net","mailto:lisa@pinkdoorboutique.net"
"Trendsetters Boutique","http://www.trendsettersboutique.net","mailto:lisa.trendsettersboutique@gmail.com"
"Dollar Outlet & Gift Shoppe",,"mailto:dollaroutlet@qwestoffice.net"
"Eyeology Optical and Gift Boutique",,"mailto:eyeologyoptical@gmail.com"
"The Gift Baskets Boutique",,"mailto:bloomsandboutique@gmail.com"
"Grandpa Earl's Country Store","http://www.peckandgartner.com","mailto:liverystable@aol.com"
"Dollar Savers",,"mailto:dollar.savers@yahoo.com"
"Angela's Bella Flora, Inc.",,"mailto:flowers@angelasbellaflora.com"
"Celebrate With Mosaic Alley",,"mailto:mosaiconmain@yahoo.com"
"Giggle Gals","https://gigglegalsboutique.com","mailto:gigglegals@hotmail.com"
"Marishkas",,"mailto:mary@marishkashoppe.com"
"Roe Wolfe","http://www.roewolfe.com","mailto:info@roewolfe.com"
"Yellow Umbrella","http://www.yellowumbrellashop.com","mailto:yellowumbrellashop@gmail.com"
"Indulge Your Senses","http://www.indulgeyoursensesnisswa.com","mailto:cari@indulgeyoursensesnisswa.com"
"Hollyhock Farm Alpacas",,"mailto:teredarl@sherbtel.net"
"SHE","http://www.sheoncentral.com","mailto:she.buffalo@gmail.com"
"Purse-A-Nalities","http://www.purse-analities.com","mailto:donna@purseanalities.com"
"Eclectic Goat - CLOSED",,"mailto:thegoatnorthfield@gmail.com"
"Lily Wellness","http://www.lilywellness.com","mailto:jan@lilywellness.com"
"Hello Beautiful Boutique and Coffee Shop",,"mailto:hellobeautifulgifts@outlook.com"
"Pockets And Pins Natural Baby Boutique",,"mailto:pocketsandpins@gmail.com""name","url","email"
"White House Boutique & Gift - CLOSED",,"mailto:contact@ekglaw.com"
,,"mailto:goldcitysales@gmail.com"
,,"mailto:bhurson@bdgrowers.com"
"5 Little Monkeys Boutique",,"mailto:service@5monkeysbabygifts.com"
"Neely's Boutique aka The Gold Exchange",,"mailto:simplythebest@neelysboutique.com"
"Sweet Teas Children's Boutique",,"mailto:sweetteas.info@yahoo.com"
"Three Generations Boutique","http://www.threegenerationsboutique.com","mailto:threegs84@gmail.com"
"Cottage Style Living Boutique","https://www.cottagestyleliving.com","mailto:info@cottagestyleliving.com"
"The Boutique Charleston","http://theboutiquecharleston.com","mailto:info@theboutiquecharleston.com"
"Pitter Patter Children's Boutique",,"mailto:pitterpatter@bellsouth.net"
"Zoey Os Boutique & Gifts",,"mailto:zoeyosboutique@att.net"
"Angel's Flower & Gift Boutique Inc","http://www.asympathyflorist.com/?Yext=46-4537AA","mailto:angelsflowerandgift@belsouth.net"
"My Boutique and Gifts","http://deidramcdonald.scentsy.us","mailto:myboutique@outlook.com"
"Paisley's Salon and Gift Boutique","http://www.mypaisleys.com","mailto:lisa@sewonlisa.com"
"Pitter Patter Children's Boutique",,"mailto:pitterpatter@bellsouth.net"
"Gypsywombman.Com","http://www.gypsywombman.com","mailto:info@gypsywombman.com"
"Kaileys Monogram","http://www.kaileysmonogram.com","mailto:Info@kaileysmonogram.com"
"The Palmetto Letter",,"mailto:info@thepalmettoletter.com"
"Ampersand","http://ampersandstyle.com","mailto:help@ampersandstyle.com"
"Capper's Mrs Collectibles",,"mailto:cappersmrscollec@bellsouth.net"
"The Children's Cottage",,"mailto:childrenscottage@comporium.net"
"Urban Digs","http://www.urbandigsgreenville.com","mailto:urbandigs@yahoo.com"
"KJs Closet",,"mailto:katie.mccavitt@gmail.com"
"The Barefoot General Store",,"mailto:dianethomas@bigplanet.com"
"White Rose Eclectics","http://www.whiterosesc.com","mailto:wrcrossing@gmail.com"
"Gifts By Alisha - CLOSED","http://www.giftsbyalisha.kitsylane.com","mailto:jaelieisa10@yahoo.com"
"Sweet Teas Children's Boutique",,"mailto:sweetteas.info@yahoo.com"
"Three Generations Boutique","http://www.threegenerationsboutique.com","mailto:threegs84@gmail.com"
"Cottage Style Living Boutique","https://www.cottagestyleliving.com","mailto:info@cottagestyleliving.com""name","url","email"
,,"mailto:goldcitysales@gmail.com"
,,"mailto:bhurson@bdgrowers.com"
"Miss Priss Boutique - CLOSED",,"mailto:missprissboutique@gmail.com"
"South Boutique","http://www.shopsouthboutique.com","mailto:info@shopsouthboutique.com"
"Pamala's Boutique",,"mailto:pamalasboutique@ymail.com"
"Zeal Boutique","http://www.shopzealboutique.com","mailto:zealboutique@gmail.com"
"Sassy Lass Boutique","http://www.sassylassboutique.com","mailto:thesassylassboutique@yahoo.com"
"E & E House of Flowers and Boutique","http://www.eandehouseofflowers.com","mailto:Info@EandEHouseofFlowers.com"
"Kids Kottage Boutique",,"mailto:kidskottageboutique@gmail.com"
"SunCatchers Tanning & Gift Boutique",,"mailto:SunCatchers2017@yahoo.com"
"Two Blessings Gift Boutique Two Blessings Gift Boutique",,"mailto:twoblessingsgiftboutique@gmail.com"
"Christy's Ladies Apparel and Gifts Boutique",,"mailto:christy@shopatchristys.com"
"The Wildflower Boutique",,"mailto:thewildflowerboutique@outlook.com"
"Jojo's","http://jojosboutiquedowntown.com","mailto:jojos109ecollege@hotmail.com"
"Little Shop","http://www.searchingmagnified.com?dn=alittleshoppe.net&pid=7po42ccy2","mailto:diane-little@att.net"
"STITCH WITCH      has moved out of galleria mall",,"mailto:info@ehoundstooth.com"
"First Impression","http://1igprint.com","mailto:fimpression@yahoo.com"
"Wrapsody","http://www.wrapsodyonline.com","mailto:auburn@wrapsodyonline.com"
"Victoria's Restaurant",,"mailto:hiswing59@gmail.com"
"Holiday Inc","http://shoptheholiday.com","mailto:shop@shoptheholiday.com"
"Shop Around The Corner Boutique",,"mailto:lostlaw95@yahoo.com"
"Haute Southern Style Boutique","http://www.hautesouthernstyle.rocks","mailto:haute.southern.style.boutique@gmsil.com"
"Market House Boutique","http://www.clothingboutiquehoover.com","mailto:info.markethousebotique@gmail.com"
"Simply Southern Boutique",,"mailto:info@simplysouthernbtq.com"
"Downtown Southern Sass Boutique","https://www.facebook.com/downtownsouthernsass","mailto:kristenlorance@gmail.com"
"Hissy Fits Boutique",,"mailto:hissyfitsboutique1@hotmail.com"
"Gameday in Style Boutique","http://www.gamedayinstyle.com","mailto:sylvia@gamedayinstyle.com""name","url","email"
,,"mailto:info@sexdollfetish.store"
,,"mailto:etoilela@msn.com"
,,"mailto:goldcitysales@gmail.com"
,,"mailto:bhurson@bdgrowers.com"
"The Gift Boutique",,"mailto:thegiftboutiqueshop@yahoo.com"
"Addie's Gift Boutique","http://www.babikini.com","mailto:addiesgb@aol.com"
"All About You Boutique & Gifts","https://www.allaboutyougift.com","mailto:rhondaluvsavon@cox.net"
"LaDeDa Boutique & Gift Shop","http://ladedaboutique.net","mailto:info@ladedaboutique.net"
"Sassafras Gift Boutiques",,"mailto:ashleyaldridgedean@att.net"
"All About You Boutique & Gifts","https://www.allaboutyougift.com","mailto:rhonda@allaboutyougift.com"
"Butterfly's Boutique",,"mailto:asgautreaux269@gmail.com"
"Razzle Dazzle Unique Boutique","http://razzledazzleuniqueboutique.com","mailto:razzledazzleboutique@suddenlink.net"
"The Grapevine Salon & Boutique",,"mailto:store@thegrapevineboutique.com"
"New Beginnings Boutique",,"mailto:newbeginningsboutique@ymail.com"
"La Madison Boutique","http://www.etsy.com/SHOP/LAMADISONBOUTIQUE","mailto:lamadisonboutique@gmail.com"
"Carousel Consignments & Boutique","http://www.shopthecarousel.com","mailto:cs@carouselconsignmentsonline.com"
"La Madison Boutique","http://www.etsy.com/shop/LAMADISONBOUTIQUE","mailto:lamadisonboutique@gmail.com"
"Mojo Boutique - CLOSED","http://www.shopmojo.com","mailto:TheFleurtyGinger@gmail.com"
"Gingerbread House","http://www.walsworthandco.com","mailto:gbh2373@gmail.com"
"Dat Bayou Bling",,"mailto:datbayoubling@yahoo.com"
"BROADMOOR VILLAGE FLORIST","http://broadmoorflowers.com","mailto:broadmoorflorist@cox.net"
"Tela's Things","http://www.facebook.com","mailto:telasthings@yahoo.com"
"K Couture",,"mailto:kcouture3619@gmail.com"
"Revival Antiques","http://www.revivalantiquesandetc.com","mailto:revivalantiq@aol.com"
"Three Divas & Sugar Daddy","http://www.3-divas.com","mailto:3divas@3divas.com"
"Absolutely Abigail's","http://absolutelyabigails.com","mailto:info@absolutelyabigails.com"
"The White Camellia","http://www.whitecamelliagardenandgifts.com","mailto:whitecamelliagarden@gmail.com"
"Merci Beaucoup","http://www.mercib.com","mailto:info@mercib.com"
"Hilton & Co Dress Shop",,"mailto:shelia@hiltonsdress.com"
"Cajun Village Cottages","http://www.thecajunvillagecottages.com","mailto:candctreasures@eatel.net"
"Virgo Boutique, LLC","http://www.virgoboutique.com","mailto:info@virgoboutique.com"
"La De Da","http://www.ladeda.com","mailto:ladeda@ladeda.com"
"Sway Boutique",,"mailto:swayboutiquegifts@gmail.com"
"Sweet Caroline Boutique","http://sweetcarlineboutiquelafayette.us","mailto:sweetcarlineboutiquelafayette@gmail.com"
"The Perfect Gift",,"mailto:theperfectgift84@yahoo.com"
"Sunshine Boutique","http://sunshine-boutique.com","mailto:ccarstens@ejhospital.com"
"Boutique Du Vampyer","http://feelthebite.com","mailto:maritaj@vampire.com"
"Addie's Gift Boutique",,"mailto:addiesgb@aol.com"
"Le Chateau Salon And Gift Boutique - CLOSED",,"mailto:leurissa17@gmail.com"
"Detour Nola","http://www.detournola.com","mailto:DetourNola@gmail.com"
"Earthly Treasures & Beads",,"mailto:et4beads@yahoo.com"
"Southern Sass",,"mailto:southernsass13@gmail.com"
"The Market Magazine & Sixth","http://www.marketatmagazine.com","mailto:amy@marketatmagazine.com"
"Fleur De Lane's","http://www.shop.fleurdelismerchandise.com","mailto:info@fleurdelanes.net"
"Forever And Always",,"mailto:admin@foreverandalwaysonline.com""name","url","email"
"Simply Elan Boutique and Gift Shop",,"mailto:simplyelan@roadrunner.com"
,,"mailto:goldcitysales@gmail.com"
,,"mailto:bhurson@bdgrowers.com"
"Barn & Willow Boutique","https://www.facebook.com/pg/barnandwillowboutique","mailto:barnandwillowco@outlook.com"
"Grace On Main Boutique","https://www.facebook.com/graceonmainboutique","mailto:graceonmainboutique@gmail.com"
"Scout & Molly's Boutique","http://www.lexington.scoutandmollys.com","mailto:lexington@scoutandmollys.com"
"Six Sisters Boutique","https://sixsistersboutique.payscapecommerce.com","mailto:sixsistersnulu@gmail.com"
"Revelry Boutique Gallery","http://www.revelrygallery.com","mailto:info@revelrygallery.com"
"Madison Square Boutique & Bridal","http://msbbridal.com","mailto:annewgonzales@gmail.com"
"Posh Boutique","http://www.poshboutiqueky.com","mailto:poshboutiquelondon@gmail.com"
"Olive You Boutique","http://www.oliveyouboutique.com","mailto:shop@oliveyouboutique.com"
"Two Chicks & Co","http://www.twochicksandcompany.com","mailto:twochicks@twochicksandcompany.com"
"Pineapple Lily",,"mailto:teresa@pineapplelily.net"
"Magnolia & Steel LLC","http://magnoliaandsteelllc.com","mailto:magnoliaandsteelfloral@gmail.com"
"Sash and Bow","http://www.sashandbowboutique.com","mailto:sasha86@hotmail.com"
"Polka Dots","http://www.dots.com","mailto:polkadots@windstream.net"
"Cordial Lee","http://www.cordiallee.com","mailto:shelby@cordiallee.com"
"Chelle Belles Creations","http://www.chellebellescreations.com","mailto:chellebellescreations@gmail.com"
"Gifthorse Shop, LLC",,"mailto:gifthorseshop@gmail.com"
"WildFlower Designs LLC",,"mailto:wildflower.designs@yahoo.com"
"Something Fun",,"mailto:mhunley@insightbb.com"
"Mine & Yours",,"mailto:mineandyours@att.net"
"Stockdale's","http://www.stockdales.com","mailto:info@stockdales.com"
"JUDY GEAGLEY BY HAND","http://judygeagleybyhand.com","mailto:Judy@judygeagleybyhand.com"
"Sincerely Yours Jewelry",,"mailto:Sincerelyyourssw@aol.com"
"Craft Nook","http://craftnookflorist.com","mailto:wincraftnook@roadrunner.com"
"Vardens",,"mailto:ehb_3@hotmail.com"
"Vintage Rose Emporium",,"mailto:contact@vintagerose.com"
"Two Chicks & Co Louisville","http://twochicksandcompany.com","mailto:twochicks@twochicksandcompany.com"
"Absolutley Salon","http://www.absolutelysalon.com","mailto:youwish1@att.net"
"Clementine's LLC","http://www.clementinesky.com","mailto:clementinesky1@yahoo.com"
"Barn & Willow Boutique","https://www.facebook.com/pg/barnandwillowboutique","mailto:barnandwillowco@outlook.com"
"Madison Square Boutique & Bridal","http://msbbridal.com","mailto:annewgonzales@gmail.com"
"Posh Boutique","http://www.poshboutiqueky.com","mailto:poshboutiquelondon@gmail.com"
"Brandi's Boutique","http://brandisboutiqueshop.co","mailto:brandimattingly@windstream.net"
"Dandelion Boutique","http://www.dandelionhome.com","mailto:info@dandelionhome.com"
"Lucia's World Friendly Boutique - CLOSED","http://www.luciasboutique.com","mailto:info@luciasboutique.com"
"New 2 You Boutique & Gift Shop",,"mailto:new2youintompkinsville@gmail.com"
"Awakenings Boutique; Wigs, Healing, Recovery, Gifts","http://www.awakenshop.com","mailto:wigladyab@icloud.com""name","url","email"
"The Flower Basket And Gift Boutique","http://www.cottagegroveflowerbasket.com","mailto:reevesmitchell@aol.com"
,,"mailto:goldcitysales@gmail.com"
,,"mailto:bhurson@bdgrowers.com"
"Pelindaba Lavander","http://www.pelindabalavender.com/portland-or-a/297.htm","mailto:admin@pelindaba.com"
"Nikki Jane's Botique","http://www.nikkijanes.com","mailto:Amy@nikkijanes.com"
"Denas Shop On the Corner","http://www.denasshop.com","mailto:Denas@mail.com"
"ClassEGifts","http://classegifts.com","mailto:info@ClassEGifts.com"
"The Courtyard On 6th",,"mailto:thecourtyardonsixth@gmail.com"
"DragonVine","http://www.dragonvine.com","mailto:shop@dragonvine.com"
"Pemberton's Flowers - Salem","http://www.pembertonsflowers.com","mailto:info@pembertonsflowers.com"
"Gifts A Gogo",,"mailto:info@giftsagogo.com"
"Joyco Sales Gift Shop","http://www.joycosales.com","mailto:ashley@joycosales.com"
"Aria Boutique",,"mailto:newproduct@madeinoregon.com"
"Silver Lining Boutique","http://www.silverliningboutique.com","mailto:info@silverliningboutique.com"
"Shady Kate's Boutique","http://www.shadykates.com","mailto:designs@katecrowstoninteriors.com"
"Merienwen Boutique And Gifts LLC",,"mailto:vickiebeckley48@gmail.com""name","url","email"
,,"mailto:goldcitysales@gmail.com"
,,"mailto:bhurson@bdgrowers.com"
"Maddy's Floral Boutique - CLOSED",,"mailto:tallmaddy@yahoo.com"
"Val's Boutique","http://valsboutique.net","mailto:valtucker@ymail.com"
"Whiskey Creek Boutique","http://www.shopwhiskeycreek.com","mailto:whiskeycreekdesigns@gmail.com"
"Rhapsody Faith and Fashion Boutique",,"mailto:rhapsody_fashion@yahoo.com"
"Magnolia Lane Boutique","http://www.magnolialaneboutique.com","mailto:themagnolialane@gmail.com"
"Luv It Boutique","http://www.luvitboutique.net","mailto:luvitgifts@gmail.com"
"Bless Ur Heart Boutique","http://www.blessurheartboutiqueonline.com","mailto:blessurheartboutique@gmail.com"
"Ootsie's Blossoms & Boutique","http://www.ootsiesblossomsboutique.com","mailto:ootsiesbandb@gmail.com"
"Bluestem Boutique LLC","http://bluestemboutique.com","mailto:bluestemboutique@att.net"
"Dear Friends - CLOSED",,"mailto:awesomegifts@gmx.com"
"Harper & Grey House","http://www.harperandgrey.com","mailto:harperandgrey@gmail.com"
"Nook & Cranny Mercantile","http://nookncrannymercantile.com","mailto:nandcmercantile@gmail.com"
"Bruton's Outdoors",,"mailto:brutonsoutdoors@gmail.com"
"Simply",,"mailto:SimplyTulsa@gmail.com"
"The District on Main","http://www.thedistrictonmain.com","mailto:nestingnecessities@att.net"
"Courthouse Designs - CLOSED",,"mailto:courthousedesigns@hotmail.com"
"Emma's Essentials",,"mailto:emmasessentials@gmail.com"
"The Pink Pistol","http://www.thepinkpistol.com","mailto:general@thepinkpistol.com"
"Pots and Petals Candy Bouquets",,"mailto:Potandpetal@gmail.com"
"Moonlight Beauty Products, Inc. - CLOSED","http://www.moonlightbp.com","mailto:join_us@moonlightbp.com"
"Lady Bag",,"mailto:poncacitybaglady@att.net"
"Scentsy Wickless Consultant",,"mailto:dlc1983@gmail.com"
"J J Mundi - CLOSED","http://www.jjmundi.com","mailto:jj-mundi@att.net"
"Jodi McBryde Avon Independent Sales Representative","http://www.youravon.com/jmcbryde","mailto:jbmcbryde@hotmail.com"
"The Emporium Boutique On Broadway",,"mailto:gypsywear@hotmail.com"
"Route 66 Boutique Inc",,"mailto:route66boutique@gmail.com"
"Flower Boutique","http://flowerboutiquetuttle.com","mailto:tuttleflowers@yahoo.com"
"Prairie Rose Gifts & Boutique",,"mailto:prairerosedunok@gmail.com"
"Liv A Little Gift Boutique","http://www.livalittleboutique.com","mailto:livalittleboutique@aol.com"
"KayleeAnn's Boutique and Gifts",,"mailto:kayleeannbtg@aol.com"
"Bubble Boutique and Gifts - CLOSED",,"mailto:bubbleboutiqueandgifts@yahoo.com""name","url","email"
,,"mailto:goldcitysales@gmail.com"
,,"mailto:bhurson@bdgrowers.com"
"Unpredictable2 - CLOSED",,"mailto:unpredictutah@aol.com"
"Enchanted Unicorn Candles","http://www.utahmadecandles.com","mailto:enchantedunicorncandles@yahoo.com"
"A Serendipity Wedding (Store Code: 3749 )",,"mailto:KAShops@theaspenbrands.com"
"Dear Lizzie Bistro",,"mailto:mydearlizzie@yahoo.com"
"Main Street Drug & Boutique","http://www.mysanjuanpharmacy.com","mailto:mymsd@icloud.com"
"Maison Confiserie et Boutique","http://www.boutiquedemaison.com","mailto:www.maisonslc@aol.com"
"Blue Boutique","http://www.blueboutique.com","mailto:info@blueboutique.com"
"Nest Boutique","https://shopnestboutique.com","mailto:brittany@shopnestboutique.com"
"Bjorn Stova Boutique","http://bjornstova.com","mailto:resv@steinlodge.com"
"Saltair Boutique","http://www.thesaltair.com","mailto:info@thesaltair.com"
"Kathy's Flower Boutique","http://www.floristinmagnaut.com","mailto:kathysfloral@netzero.net"
"Lazy Lizard Boutique",,"mailto:lazylizardbtq@hotmail.com"
"Tea Thyme & Gift Boutique","http://teathymeboutique.com","mailto:teathymeandgift@gmail.com""name","url","email"
"Bridge Street Boutique & Gift","http://www.bridgestreetboutiqueandgift.com","mailto:bridgestreetboutiqueandgift@gmail.com"
,,"mailto:goldcitysales@gmail.com"
,,"mailto:bhurson@bdgrowers.com"
"Peaceful River Creations","http://www.peacefulrivercreations.com","mailto:info@peacefulrivercreations.com"
"Inspired Locally Marketplace","http://www.inspiredlocally.com","mailto:sales@inspiredlocally.com"
"Lake Lifestyle","http://www.lakelifestyleia.com","mailto:kelli@clearlakelifestyle.com"
"The Painted Rooster",,"mailto:ThePaintedRoosterClinton@gmail.com"
"Main Street Frame & Art","http://www.mainstreetframeandart.com","mailto:rf491@mediacombb.net"
"A La Mode",,"mailto:all4alamode@gmail.com"
"Spoons Full Of Sugar Boutique","http://spoonsfullofsugarboutique.com","mailto:jkdak99@msn.com"
